phase,condition,target,seed,lib_size,solved,event,pool_size,n_d3,n_payoff_pos,n_certified,payoff,cand_len,agree_noveltyflag,agree_own_stone,ms
phase1_seed,B_prior_only,distinct,0x0,5,1,auto_discovered,6000,5845,6,6,6,4,1.0000,-1.0000,0
phase1_seed,C_cold,distinct,0x0,5,0,not_found,6000,5970,0,0,0,0,-1.0000,-1.0000,0
phase2,A_full_transfer,hashtbl,0xA70F,6,1,auto_discovered,3000,917,184,184,1,3,0.2143,-1.0000,16090
phase2,A_full_transfer,union,0xA70F,6,1,auto_discovered,3000,917,184,184,1,3,0.2143,-1.0000,16227
phase2,A_full_transfer,dist->gxor,0xA70F,6,1,composition,0,0,0,0,0,0,-1.0000,-1.0000,1
phase2,A_full_transfer,gadd->dist,0xA70F,6,1,composition,0,0,0,0,0,0,-1.0000,-1.0000,2
phase2,A_full_transfer,dist->dist,0xA70F,6,1,composition,0,0,0,0,0,0,-1.0000,-1.0000,0
phase2,A_full_transfer,dist->rmw,0xA70F,6,1,composition,0,0,0,0,0,0,-1.0000,-1.0000,4
phase2,A_full_transfer,shift->dist,0xA70F,6,1,composition,0,0,0,0,0,0,-1.0000,-1.0000,2
phase2,A_full_transfer,shift->dist->gxor,0xA70F,6,0,not_found,3000,917,0,0,0,0,-1.0000,-1.0000,11570
phase2,A_full_transfer,togglecount,0xA70F,6,1,auto_discovered,3000,917,29,29,1,3,0.5134,0.5045,11541
phase2,A_full_transfer,eqflag,0xA70F,6,1,auto_discovered,3000,917,13,13,1,3,0.6429,0.3214,10994
phase2,B_prior_only,hashtbl,0xA70F,5,1,auto_discovered,3000,2859,184,184,1,3,0.2143,-1.0000,16452
phase2,B_prior_only,union,0xA70F,5,1,auto_discovered,3000,2859,184,184,1,3,0.2143,-1.0000,16860
phase2,B_prior_only,dist->gxor,0xA70F,5,1,auto_discovered,3000,2859,2,2,1,4,1.0000,-1.0000,15298
phase2,B_prior_only,gadd->dist,0xA70F,5,1,auto_discovered,3000,2859,2,2,1,4,1.0000,-1.0000,15205
phase2,B_prior_only,dist->dist,0xA70F,5,1,auto_discovered,3000,2859,4,4,1,3,0.7098,-1.0000,16962
phase2,B_prior_only,dist->rmw,0xA70F,5,1,auto_discovered,3000,2859,3,3,1,4,1.0000,-1.0000,16724
phase2,B_prior_only,shift->dist,0xA70F,5,1,auto_discovered,3000,2859,2,2,1,4,1.0000,-1.0000,15460
phase2,B_prior_only,shift->dist->gxor,0xA70F,5,0,not_found,3000,2859,0,0,0,0,-1.0000,-1.0000,16276
phase2,B_prior_only,togglecount,0xA70F,5,1,auto_discovered,3000,2859,29,29,1,3,0.5134,0.5045,14550
phase2,B_prior_only,eqflag,0xA70F,5,1,auto_discovered,3000,2859,4,4,1,3,0.0000,0.9643,13888
phase2,C_cold,hashtbl,0xA70F,5,1,auto_discovered,3000,2991,1,1,1,9,0.2143,-1.0000,13480
phase2,C_cold,union,0xA70F,5,0,not_found,3000,2989,0,0,0,0,-1.0000,-1.0000,13977
phase2,C_cold,dist->gxor,0xA70F,5,0,not_found,3000,2993,0,0,0,0,-1.0000,-1.0000,15310
phase2,C_cold,gadd->dist,0xA70F,5,0,not_found,3000,2987,0,0,0,0,-1.0000,-1.0000,15173
phase2,C_cold,dist->dist,0xA70F,5,0,not_found,3000,2994,0,0,0,0,-1.0000,-1.0000,16951
phase2,C_cold,dist->rmw,0xA70F,5,0,not_found,3000,2991,0,0,0,0,-1.0000,-1.0000,16852
phase2,C_cold,shift->dist,0xA70F,5,0,not_found,3000,2991,0,0,0,0,-1.0000,-1.0000,15966
phase2,C_cold,shift->dist->gxor,0xA70F,5,0,not_found,3000,2989,0,0,0,0,-1.0000,-1.0000,16477
phase2,C_cold,togglecount,0xA70F,5,1,auto_discovered,3000,2987,4,4,1,4,0.5134,0.5045,14206
phase2,C_cold,eqflag,0xA70F,5,0,not_found,3000,2986,0,0,0,0,-1.0000,-1.0000,14165
