iter,best_avalanche,best_balance,best_period,best_chisq,best_length,best_composite,accepted,beats_ref
0,24.8728,31.5898,4096,227.7500,9,-27.8228,1,0
1,24.8728,31.5898,4096,227.7500,9,-27.8228,2,0
2,24.8728,31.5898,4096,227.7500,9,-27.8228,3,0
3,24.8728,31.5898,4096,227.7500,9,-27.8228,4,0
4,24.8728,31.5898,4096,227.7500,9,-27.8228,4,0
5,24.8728,31.5898,4096,227.7500,9,-27.8228,5,0
6,24.8728,31.5898,4096,227.7500,9,-27.8228,6,0
7,24.8728,31.5898,4096,227.7500,9,-27.8228,6,0
8,24.8728,31.5898,4096,227.7500,9,-27.8228,6,0
9,24.8728,31.5898,4096,227.7500,9,-27.8228,7,0
10,24.8728,31.5898,4096,227.7500,9,-27.8228,8,0
11,24.8728,31.5898,4096,227.7500,9,-27.8228,9,0
12,24.8728,31.5898,4096,227.7500,9,-27.8228,10,0
13,24.8728,31.5898,4096,227.7500,9,-27.8228,10,0
14,24.8728,31.5898,4096,227.7500,9,-27.8228,11,0
15,24.8728,31.5898,4096,227.7500,9,-27.8228,11,0
16,24.8728,31.5898,4096,227.7500,9,-27.8228,12,0
17,24.8728,31.5898,4096,227.7500,9,-27.8228,13,0
18,24.8728,31.5898,4096,227.7500,9,-27.8228,13,0
19,24.8728,31.5898,4096,227.7500,9,-27.8228,14,0
20,24.8728,31.5898,4096,227.7500,9,-27.8228,15,0
21,24.8728,31.5898,4096,227.7500,9,-27.8228,15,0
22,24.8728,31.5898,4096,227.7500,9,-27.8228,16,0
23,24.8728,31.5898,4096,227.7500,9,-27.8228,17,0
24,24.8728,31.5898,4096,227.7500,9,-27.8228,17,0
25,24.8728,31.5898,4096,227.7500,9,-27.8228,18,0
26,24.8728,31.5898,4096,227.7500,9,-27.8228,18,0
27,24.8728,31.5898,4096,227.7500,9,-27.8228,18,0
28,24.8728,31.5898,4096,227.7500,9,-27.8228,19,0
29,24.8728,31.5898,4096,227.7500,9,-27.8228,20,0
30,24.8728,31.5898,4096,227.7500,9,-27.8228,21,0
31,24.8728,31.5898,4096,227.7500,9,-27.8228,22,0
32,24.8728,31.5898,4096,227.7500,9,-27.8228,23,0
33,24.8728,31.5898,4096,227.7500,9,-27.8228,23,0
34,24.8728,31.5898,4096,227.7500,9,-27.8228,24,0
35,24.8728,31.5898,4096,227.7500,9,-27.8228,24,0
36,24.8728,31.5898,4096,227.7500,9,-27.8228,25,0
37,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
38,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
39,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
40,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
41,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
42,24.8728,31.5898,4096,227.7500,9,-27.8228,26,0
43,24.8728,31.5898,4096,227.7500,9,-27.8228,27,0
44,24.8728,31.5898,4096,227.7500,9,-27.8228,28,0
45,24.8728,31.5898,4096,227.7500,9,-27.8228,29,0
46,24.8728,31.5898,4096,227.7500,9,-27.8228,30,0
47,24.8728,31.5898,4096,227.7500,9,-27.8228,31,0
48,24.8728,31.5898,4096,227.7500,9,-27.8228,32,0
49,24.8728,31.5898,4096,227.7500,9,-27.8228,32,0
50,24.8728,31.5898,4096,227.7500,9,-27.8228,33,0
51,24.8728,31.5898,4096,227.7500,9,-27.8228,34,0
52,24.8728,31.5898,4096,227.7500,9,-27.8228,34,0
53,24.8728,31.5898,4096,227.7500,9,-27.8228,35,0
54,24.8728,31.5898,4096,227.7500,9,-27.8228,35,0
55,24.8728,31.5898,4096,227.7500,9,-27.8228,36,0
56,24.8728,31.5898,4096,227.7500,9,-27.8228,37,0
