round,world,arm,train_bit_errors,heldout_bit_errors,heldout_bits,mechanism_digest,lineage_rank,storage_state,detail
round_t_t1,0,mutable_field,0,0,12,0xfe98933a,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,0,fixed_field,na,10,12,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,0,random_mutation,6,2,12,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,0,replay_memory,0,10,12,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,1,mutable_field,0,0,20,0x97f8bd3d,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,1,fixed_field,na,12,20,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,1,random_mutation,5,3,20,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,1,replay_memory,0,12,20,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,2,mutable_field,0,0,8,0x1118d063,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,2,fixed_field,na,1,8,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,2,random_mutation,7,1,8,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,2,replay_memory,0,1,8,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,3,mutable_field,0,0,16,0xb9573a47,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,3,fixed_field,na,8,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,3,random_mutation,0,0,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,3,replay_memory,0,8,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,4,mutable_field,0,0,16,0x1118d063,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,4,fixed_field,na,4,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,4,random_mutation,7,1,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,4,replay_memory,0,4,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,5,mutable_field,0,0,8,0x77ef8169,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,5,fixed_field,na,2,8,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,5,random_mutation,13,3,8,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,5,replay_memory,0,2,8,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,6,mutable_field,0,0,16,0x0febbdb4,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,6,fixed_field,na,12,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,6,random_mutation,4,0,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,6,replay_memory,0,12,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,7,mutable_field,0,0,16,0x77ef8169,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,7,fixed_field,na,2,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,7,random_mutation,5,3,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,7,replay_memory,0,2,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,8,mutable_field,0,0,16,0x1118d063,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,8,fixed_field,na,10,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,8,random_mutation,6,2,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,8,replay_memory,0,10,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,9,mutable_field,0,0,20,0xddd31ded,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,9,fixed_field,na,15,20,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,9,random_mutation,3,5,20,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,9,replay_memory,0,15,20,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,10,mutable_field,0,0,16,0x997b7b72,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,10,fixed_field,na,16,16,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,10,random_mutation,0,0,16,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,10,replay_memory,0,16,16,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,11,mutable_field,0,0,20,0x6f63cbd4,PATTERN,committed_after_fresh_partition,shared_raw_response_surface_plus_wires
round_t_t1,11,fixed_field,na,18,20,none,NOISE,none,zero_response_surface_fixed_before_observations
round_t_t1,11,random_mutation,6,2,20,none,NOISE,scratch_only,128_equal_budget_raw_candidates
round_t_t1,11,replay_memory,0,18,20,none,NOISE,quarantined,seen_transition_lookup_zero_on_unseen
round_t_t1,closure,aggregate,0,0/184,184,none,VALIDATED,snapshot,mutable=0;fixed=110;random=22;replay=110;raw_holdout_bits=184
round_t_t1,VERDICT,aggregate,na,0/184,na,none,NOISE,rollback,VALID_NEGATIVE:no_representation_birth_claim;observed_narrow_transfer_signal_depends_on_human_installed_shared_16_entry_surface_bias
