a,b,bit_agreement,exact_equiv
splitMix64,splitMix64,1.0000,1.0000
splitMix64,MurmurFinalizer,0.4968,0.0000
splitMix64,xorshift64,0.5002,0.0000
splitMix64,WangHash64,0.4963,0.0000
MurmurFinalizer,splitMix64,0.4968,0.0000
MurmurFinalizer,MurmurFinalizer,1.0000,1.0000
MurmurFinalizer,xorshift64,0.4999,0.0000
MurmurFinalizer,WangHash64,0.4985,0.0000
xorshift64,splitMix64,0.5002,0.0000
xorshift64,MurmurFinalizer,0.4999,0.0000
xorshift64,xorshift64,1.0000,1.0000
xorshift64,WangHash64,0.5008,0.0000
WangHash64,splitMix64,0.4963,0.0000
WangHash64,MurmurFinalizer,0.4985,0.0000
WangHash64,xorshift64,0.5008,0.0000
WangHash64,WangHash64,1.0000,1.0000
