section,seed,target,round_or_gt,family_or_verdict,detail,metric_val,metric_tst,extra1,extra2
base_rate,0xF0235A11CE0FF1CE,RUN1,-,-,base_rate,0.4233,,,
greedy_trace,0xF0235A11CE0FF1CE,RUN1,1,spectral,"cos(w=0.157*c3)",0.8166,0.8097,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,2,world,"sign%8==0",0.8343,0.8183,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,3,cmp,"cmp(high6,ident)",0.8360,0.8183,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,4,walsh,"chi(0x07)",0.8491,0.8423,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,5,mono,"phi(0x18)",0.8634,0.8651,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,6,mono,"phi(0x60)",0.8789,0.8691,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,7,cmp,"cmp(high6,mod4)",0.8886,0.8811,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,8,mono,"phi(0x04)",0.8943,0.8909,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,9,mono,"phi(0x24)",0.9074,0.8977,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,10,mono,"phi(0x0C)",0.9143,0.8937,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,11,mono,"phi(0x30)",0.9217,0.8989,class,incidental
greedy_trace,0xF0235A11CE0FF1CE,RUN1,12,mono,"phi(0x10)",0.9269,0.8971,class,incidental
gate_repro,0xF0235A11CE0FF1CE,RUN1,-,-,cov_before,0.9011,,,
gate_repro,0xF0235A11CE0FF1CE,RUN1,-,-,cov_after,1.0000,,,
gate_repro,0xF0235A11CE0FF1CE,RUN1,-,-,r2_incidental,0.7673,,gate_verdict,reject
greedy_trace,0xF0235A11CE0FF1CE,RUN1,1,spectral,"cos(w=0.157*c3)",0.6606,0.6455,regress,dedicated
greedy_trace,0xF0235A11CE0FF1CE,RUN1,2,cmp,"cmp(low6,ident)",0.6812,0.6667,regress,dedicated
greedy_trace,0xF0235A11CE0FF1CE,RUN1,3,mono,"phi(0x30)",0.7025,0.6866,regress,dedicated
