kind,name,case,split,domain,full_iters,actual_iters,strict_hit,quality_hit,errored,best_score,acceptance_rate,budget_scale
baseline,vanilla_sa,train/u64/1,train,u64_mixer,8000,160,1,1,0,46.769531,0.756250,0.020000
champion,meta_search,train/u64/1,train,u64_mixer,8000,160,1,1,0,45.683594,0.556250,0.020000
baseline,vanilla_sa,train/u64/2,train,u64_mixer,8000,160,1,1,0,44.802246,0.637500,0.020000
champion,meta_search,train/u64/2,train,u64_mixer,8000,160,1,1,0,42.415391,0.500000,0.020000
baseline,vanilla_sa,train/u64/3,train,u64_mixer,8000,160,1,1,0,42.041602,0.681250,0.020000
champion,meta_search,train/u64/3,train,u64_mixer,8000,160,1,1,0,44.608887,0.562500,0.020000
baseline,vanilla_sa,train/boolean/1,train,boolean,200000,4000,0,0,0,61.000000,0.484750,0.020000
champion,meta_search,train/boolean/1,train,boolean,200000,4000,1,1,0,98.500000,0.496250,0.020000
baseline,vanilla_sa,train/boolean/2,train,boolean,200000,4000,1,1,0,98.500000,0.377500,0.020000
champion,meta_search,train/boolean/2,train,boolean,200000,4000,0,0,0,61.000000,0.476500,0.020000
baseline,vanilla_sa,train/boolean/3,train,boolean,200000,4000,1,1,0,98.500000,0.332250,0.020000
champion,meta_search,train/boolean/3,train,boolean,200000,4000,1,1,0,98.500000,0.406250,0.020000
baseline,vanilla_sa,train/sort/1,train,sort_net,50000,1000,1,1,0,176.000000,0.521000,0.020000
champion,meta_search,train/sort/1,train,sort_net,50000,1000,1,1,0,178.000000,0.416000,0.020000
baseline,vanilla_sa,train/sort/2,train,sort_net,50000,1000,1,1,0,177.000000,0.495000,0.020000
champion,meta_search,train/sort/2,train,sort_net,50000,1000,1,1,0,176.000000,0.370000,0.020000
baseline,vanilla_sa,validation/u64/1,validation,u64_mixer,8000,160,0,0,0,-217.724609,0.612500,0.020000
champion,meta_search,validation/u64/1,validation,u64_mixer,8000,160,0,0,0,-236.013027,0.643750,0.020000
baseline,vanilla_sa,validation/u64/2,validation,u64_mixer,8000,160,0,0,0,23.781094,0.768750,0.020000
champion,meta_search,validation/u64/2,validation,u64_mixer,8000,160,0,0,0,0.128398,0.637500,0.020000
baseline,vanilla_sa,validation/u64/3,validation,u64_mixer,8000,160,1,1,0,41.698340,0.743750,0.020000
champion,meta_search,validation/u64/3,validation,u64_mixer,8000,160,1,1,0,44.813066,0.518750,0.020000
baseline,vanilla_sa,validation/boolean/1,validation,boolean,200000,4000,0,0,0,61.000000,0.334500,0.020000
champion,meta_search,validation/boolean/1,validation,boolean,200000,4000,1,1,0,98.500000,0.324000,0.020000
baseline,vanilla_sa,validation/boolean/2,validation,boolean,200000,4000,1,1,0,98.500000,0.620750,0.020000
champion,meta_search,validation/boolean/2,validation,boolean,200000,4000,1,1,0,98.500000,0.424500,0.020000
baseline,vanilla_sa,validation/boolean/3,validation,boolean,200000,4000,0,0,0,61.000000,0.437000,0.020000
champion,meta_search,validation/boolean/3,validation,boolean,200000,4000,1,1,0,98.500000,0.452500,0.020000
baseline,vanilla_sa,validation/sort/1,validation,sort_net,50000,1000,1,1,0,173.500000,0.518000,0.020000
champion,meta_search,validation/sort/1,validation,sort_net,50000,1000,1,1,0,177.500000,0.418000,0.020000
baseline,vanilla_sa,validation/sort/2,validation,sort_net,50000,1000,1,1,0,176.000000,0.482000,0.020000
champion,meta_search,validation/sort/2,validation,sort_net,50000,1000,1,1,0,176.000000,0.406000,0.020000
baseline,vanilla_sa,test/u64/1,test,u64_mixer,8000,160,0,0,0,-255.125000,0.781250,0.020000
champion,meta_search,test/u64/1,test,u64_mixer,8000,160,1,1,0,25.919531,0.531250,0.020000
baseline,vanilla_sa,test/u64/2,test,u64_mixer,8000,160,1,1,0,45.923340,0.643750,0.020000
champion,meta_search,test/u64/2,test,u64_mixer,8000,160,0,0,0,-42.571289,0.718750,0.020000
baseline,vanilla_sa,test/u64/3,test,u64_mixer,8000,160,0,0,0,-10.221680,0.675000,0.020000
champion,meta_search,test/u64/3,test,u64_mixer,8000,160,0,0,0,-20.116582,0.531250,0.020000
baseline,vanilla_sa,test/boolean/1,test,boolean,200000,4000,1,1,0,98.500000,0.327250,0.020000
champion,meta_search,test/boolean/1,test,boolean,200000,4000,1,1,0,98.500000,0.354750,0.020000
baseline,vanilla_sa,test/boolean/2,test,boolean,200000,4000,1,1,0,98.500000,0.354000,0.020000
champion,meta_search,test/boolean/2,test,boolean,200000,4000,1,1,0,98.500000,0.569750,0.020000
baseline,vanilla_sa,test/boolean/3,test,boolean,200000,4000,0,0,0,61.000000,0.400250,0.020000
champion,meta_search,test/boolean/3,test,boolean,200000,4000,1,1,0,98.500000,0.550750,0.020000
baseline,vanilla_sa,test/sort/1,test,sort_net,50000,1000,1,1,0,176.500000,0.523000,0.020000
champion,meta_search,test/sort/1,test,sort_net,50000,1000,1,1,0,174.500000,0.432000,0.020000
baseline,vanilla_sa,test/sort/2,test,sort_net,50000,1000,1,1,0,173.500000,0.516000,0.020000
champion,meta_search,test/sort/2,test,sort_net,50000,1000,1,1,0,173.000000,0.393000,0.020000
