round,arm,condition,errors,trials,proposal_cost,organs,freeze_state,verdict,detail
round_w_w1,grown_probe,matched,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,port_permutation,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,affine_raw_recode,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,organ_replacement,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,missing_and_new_organs,24,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,field_noise,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,temporal_delay,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,grown_probe,actuator_remap,0,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,active_intervention_response_equivalence
round_w_w1,fixed_semantic_ports,matched,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,port_permutation,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,affine_raw_recode,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,organ_replacement,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,missing_and_new_organs,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,field_noise,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,temporal_delay,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,fixed_semantic_ports,actuator_remap,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,matched,284,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,port_permutation,287,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,affine_raw_recode,284,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,organ_replacement,287,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,missing_and_new_organs,286,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,field_noise,284,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,temporal_delay,284,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,random_address_mutation,actuator_remap,287,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,matched,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,port_permutation,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,affine_raw_recode,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,organ_replacement,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,missing_and_new_organs,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
round_w_w1,replay,field_noise,288,384,18432,16,frozen_grounding_procedure_then_fresh_body_probes,MEASURED,equal_accounting_control
