generator,seed,round,pool_size,n_d3,n_payoff_pos,n_certified,found,best_payoff,event,promoted_len,agree_s1,agree_s2,f_reach,e_reach,new_f,new_e,ms
cover,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
cover,0xA70F,1,5374,5219,6,6,1,6,auto_discovered,4,0.0000,1.0000,6,4,6,1,103806
cover,0xA70F,2,5582,2617,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,6,4,0,0,26834
cover,0xA70F,3,5403,2759,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,6,4,0,0,42548
cover,0xA70F,4,5738,2323,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,6,5,0,1,59892
cover,0xA70F,5,5434,2182,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,6,5,0,0,74749
grad,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
grad,0xA70F,1,1749,1723,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,4,0,1,40145
grad,0xA70F,2,1794,284,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,12820
grad,0xA70F,3,1783,254,0,0,0,0,fallback_promote,7,-1.0000,-1.0000,0,4,0,0,14863
grad,0xA70F,4,1761,229,0,0,0,0,fallback_promote,4,-1.0000,-1.0000,0,4,0,0,17421
grad,0xA70F,5,1766,263,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,0,4,0,0,25498
grad,0xA70F,6,1825,284,0,0,0,0,fallback_promote,10,-1.0000,-1.0000,0,4,0,0,35643
grad,0xA70F,7,1736,238,0,0,0,0,fallback_promote,22,-1.0000,-1.0000,0,4,0,0,39210
grad,0xA70F,8,1840,462,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,5,0,1,88922
grad,0x5EED2,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
grad,0x5EED2,1,1726,1687,0,0,0,0,fallback_promote,6,-1.0000,-1.0000,0,3,0,0,37976
grad,0x5EED2,2,1748,1717,0,0,0,0,fallback_promote,15,-1.0000,-1.0000,0,4,0,1,59461
grad,0x5EED2,3,1755,274,0,0,0,0,fallback_promote,8,-1.0000,-1.0000,0,4,0,0,17086
grad,0x5EED2,4,1831,328,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,0,26462
grad,0x5EED2,5,1721,415,0,0,0,0,fallback_promote,2,-1.0000,-1.0000,0,4,0,0,40472
