idx,i,j,size,depth,correctness
0,0,2,22,10,1.000000
1,1,7,22,10,1.000000
2,3,7,22,10,1.000000
3,1,5,22,10,1.000000
4,4,6,22,10,1.000000
5,3,5,22,10,1.000000
6,3,4,22,10,1.000000
7,0,6,22,10,1.000000
8,0,3,22,10,1.000000
9,0,1,22,10,1.000000
10,1,3,22,10,1.000000
11,5,7,22,10,1.000000
12,2,6,22,10,1.000000
13,6,7,22,10,1.000000
14,2,5,22,10,1.000000
15,4,6,22,10,1.000000
16,2,4,22,10,1.000000
17,5,6,22,10,1.000000
18,3,4,22,10,1.000000
19,2,3,22,10,1.000000
20,4,5,22,10,1.000000
21,1,2,22,10,1.000000
