idx,op_id,op_name,dst,src1,src2
0,2,NOT,197,0,172
1,2,NOT,170,81,96
2,2,NOT,234,213,246
3,2,NOT,158,48,226
4,2,NOT,27,181,33
5,1,AND,183,51,38
6,0,XOR,43,205,182
7,2,NOT,203,67,255
8,2,NOT,75,152,144
9,2,NOT,88,65,230
10,0,XOR,109,54,234
11,2,NOT,176,103,225
12,1,AND,201,242,179
13,0,XOR,231,237,106
14,0,XOR,135,228,3
15,1,AND,93,150,205
16,2,NOT,12,40,133
17,2,NOT,61,75,137
18,1,AND,218,171,38
19,1,AND,245,38,81
20,2,NOT,28,4,111
21,0,XOR,171,70,22
22,2,NOT,223,50,130
23,0,XOR,255,176,127
24,2,NOT,92,144,101
25,1,AND,237,171,127
26,2,NOT,89,122,232
27,2,NOT,28,117,78
28,2,NOT,83,51,188
29,1,AND,175,14,11
30,2,NOT,8,212,160
31,0,XOR,227,219,41
32,2,NOT,113,235,206
33,1,AND,11,55,11
34,0,XOR,203,100,221
35,1,AND,147,16,58
36,2,NOT,66,135,182
37,0,XOR,178,143,1
38,0,XOR,73,63,162
39,0,XOR,5,30,147
40,1,AND,70,84,133
41,1,AND,49,116,94
42,0,XOR,40,72,227
43,2,NOT,243,172,9
44,0,XOR,40,72,227
45,2,NOT,243,172,9
46,0,XOR,124,60,99
47,0,XOR,249,237,86
48,1,AND,111,98,104
49,2,NOT,177,51,184
50,1,AND,229,103,12
51,2,NOT,118,9,252
52,1,AND,201,3,157
53,0,XOR,131,189,89
54,0,XOR,120,142,228
55,0,XOR,81,204,15
56,1,AND,214,60,68
57,2,NOT,160,206,30
58,2,NOT,210,59,12
59,0,XOR,127,6,241
60,0,XOR,144,25,240
61,1,AND,61,154,198
62,1,AND,90,130,217
63,1,AND,148,121,234
64,0,XOR,165,228,99
65,1,AND,102,76,207
66,2,NOT,113,213,51
67,0,XOR,222,127,84
68,0,XOR,138,79,233
69,2,NOT,190,73,207
70,2,NOT,58,164,88
71,0,XOR,37,243,9
72,1,AND,67,135,154
73,2,NOT,111,252,203
74,1,AND,248,176,249
75,1,AND,198,105,8
76,0,XOR,211,35,173
77,0,XOR,207,162,178
78,1,AND,54,135,237
79,0,XOR,141,244,144
80,1,AND,162,59,53
81,2,NOT,220,223,75
82,0,XOR,64,103,176
83,2,NOT,164,173,153
84,1,AND,100,159,199
85,1,AND,69,198,87
86,1,AND,154,135,186
87,2,NOT,44,45,144
88,2,NOT,66,131,99
89,0,XOR,34,60,36
90,2,NOT,253,86,141
91,0,XOR,238,123,144
92,1,AND,215,101,188
93,0,XOR,209,53,242
94,1,AND,179,221,130
95,0,XOR,103,170,147
96,1,AND,206,228,97
97,2,NOT,190,128,34
98,2,NOT,197,227,162
99,0,XOR,140,100,159
100,0,XOR,140,100,159
101,2,NOT,190,128,34
