gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,-5476.656821,22.549893,-inf,STRICT_PROGRESS,0,132,0
0,2,-500016.329653,-59.650457,-inf,STRICT_PROGRESS,0,132,0
0,3,-2690.160669,-1437.104399,-inf,STRICT_PROGRESS,0,132,0
0,4,-2869.236577,4.956938,-inf,STRICT_PROGRESS,0,132,0
0,0,-5476.656821,22.549893,-inf,ADVANCE + STRICT_PROGRESS,0,132,0
1,1,43.172729,9.061594,22.549893,NO_PROGRESS,0,136,1
1,2,-51.348882,24.636421,22.549893,STRICT_PROGRESS,0,132,1
1,3,42.827197,-1.031755,22.549893,NO_PROGRESS,0,132,1
1,4,-45.081196,6.657932,22.549893,NO_PROGRESS,0,132,1
1,0,-51.348882,24.636421,22.549893,ADVANCE + STRICT_PROGRESS,0,132,1
