class,a,b,hamming
related,gravity,mass,512
related,star,planet,512
related,dog,animal,512
related,red,color,404
related,fire,heat,512
related,water,liquid,512
related,book,page,414
related,sun,day,460
related,moon,night,512
related,tree,forest,478
related,car,wheel,345
related,apple,fruit,448
related,doctor,patient,512
related,river,flow,512
related,bird,fly,512
related,ocean,wave,512
related,mountain,peak,105
related,snow,cold,512
related,music,song,187
related,light,bulb,512
related,baby,child,512
related,key,lock,357
related,bread,wheat,512
related,horse,saddle,512
related,gun,bullet,226
related,pen,write,451
related,bee,honey,512
related,shoe,foot,117
related,door,room,512
related,window,glass,512
related,clock,time,329
related,map,direction,394
related,piano,music,512
related,pencil,draw,512
related,rain,wet,512
related,desert,sand,512
related,knife,cut,512
related,table,chair,512
related,forest,leaf,403
related,bear,cave,512
related,cow,milk,512
related,chicken,egg,35
related,knee,leg,512
related,ankle,foot,512
related,eye,vision,155
related,ear,sound,394
related,nose,smell,512
related,mouth,taste,512
related,hand,finger,459
related,heart,blood,512
related,brain,thought,184
related,lung,breath,512
related,stomach,food,512
related,skin,touch,512
related,bone,skeleton,512
related,tongue,lick,512
related,ship,sea,512
related,engine,motor,512
related,cup,coffee,512
related,spoon,soup,512
related,fork,pasta,512
related,plate,dinner,512
related,pan,cook,512
related,oven,bake,512
related,fridge,cold,512
related,ice,freeze,385
related,smoke,fire,512
related,ash,burn,512
related,candle,wax,512
related,match,spark,512
related,hammer,nail,512
related,saw,wood,182
related,drill,hole,512
related,screw,twist,512
related,bolt,nut,165
related,chain,link,353
related,rope,knot,512
related,net,fish,512
related,hook,bait,512
related,boat,row,512
related,sail,wind,512
related,anchor,harbor,512
related,shore,beach,512
related,cliff,fall,512
related,valley,low,512
related,hill,climb,512
related,summit,top,467
related,cave,dark,512
related,tunnel,underground,512
overlap,gravity,granite,512
overlap,star,stare,512
overlap,star,starch,512
overlap,car,card,480
overlap,car,carbon,512
overlap,cat,cap,454
overlap,cat,cane,512
overlap,cat,case,428
overlap,dog,does,512
overlap,red,read,379
overlap,red,reed,438
overlap,moon,mood,512
overlap,moon,moor,512
overlap,tree,trek,512
overlap,tree,trend,481
overlap,sun,sung,512
overlap,book,boot,432
overlap,book,boost,422
overlap,fire,firm,512
overlap,fire,first,493
overlap,water,wafer,512
overlap,water,wager,512
overlap,bird,birch,512
overlap,bird,birth,512
overlap,horse,horde,512
overlap,horse,horror,512
overlap,pen,pet,512
overlap,pen,pew,512
overlap,key,keg,512
overlap,gun,gum,512
overlap,gun,gust,512
overlap,bread,breed,512
overlap,bread,breath,512
overlap,breath,breach,512
overlap,snow,snore,512
overlap,snow,snob,512
overlap,glass,glade,512
overlap,glass,gland,512
overlap,glass,glare,512
overlap,light,litmus,512
overlap,rain,rang,512
overlap,rain,rank,512
overlap,rain,range,512
overlap,bear,beat,113
overlap,bear,bead,512
overlap,bear,beak,512
overlap,knee,knew,512
overlap,knife,knight,512
overlap,knife,knit,512
overlap,mouth,mound,512
overlap,mouth,mourn,512
overlap,nose,nosy,512
overlap,nose,nominal,512
overlap,bone,bond,512
overlap,bone,bonus,512
overlap,hair,haiku,512
overlap,hair,hail,512
overlap,ship,shin,359
overlap,ship,shift,423
overlap,ship,shirt,512
overlap,engine,engulf,512
overlap,engine,engrave,512
overlap,bike,bilk,512
overlap,bike,bind,512
overlap,map,mar,468
overlap,map,mash,512
overlap,ski,skim,512
overlap,ski,skin,512
overlap,ski,skill,512
overlap,boat,boast,512
overlap,boat,boa,512
overlap,hill,hilt,512
overlap,hill,hilum,512
overlap,shore,shorn,512
overlap,shore,short,512
overlap,candle,candor,512
overlap,candle,candy,512
overlap,match,math,427
overlap,match,matte,512
overlap,hammer,hamper,512
overlap,drill,drilling,512
overlap,rope,rove,512
overlap,rope,rosy,512
overlap,fork,form,382
overlap,fork,fort,433
overlap,plate,plait,512
overlap,plate,plait,512
